Frequency,Channel A,Channel B
(ms),(V),(V)

8.41999979,-0.54367610,-5.69236000
8.43999979,-0.54367610,-5.69236000
8.45999979,-0.54367610,-5.77140800
8.47999979,-0.54367610,-5.69236000
8.49999979,-0.54367610,-5.77140800
8.51999978,-0.54367610,-5.77140800
8.53999978,-0.54367610,-5.77140800
8.55999978,-0.54367610,-5.69236000
8.57999978,-0.54367610,-5.77140800
8.59999978,-0.54367610,-5.77140800
8.61999978,-0.54367610,-5.69236000
8.63999978,-0.54367610,-5.77140800
8.65999978,-0.54367610,-5.69236000
8.67999978,-0.54367610,-5.77140800
8.69999978,-0.54367610,-5.77140800
8.71999978,-0.54367610,-5.77140800
8.73999978,-0.54367610,-5.69236000
8.75999978,-0.54367610,-5.69236000
8.77999978,-0.54367610,-5.77140800
8.79999978,-0.54367610,-5.77140800
8.81999978,-0.54367610,-5.77140800
8.83999978,-0.54367610,-5.69236000
8.85999978,-0.54367610,-5.69236000
8.87999978,-0.55155020,-5.77140800
8.89999978,-0.54367610,-5.77140800
8.91999977,-0.54367610,-5.69236000
8.93999977,-0.54367610,-5.69236000
8.95999977,-0.54367610,-5.69236000
8.97999977,-0.55155020,-5.77140800
8.99999977,-0.54367610,-5.69236000
9.01999977,-0.54367610,-5.69236000
9.03999977,-0.54367610,-5.69236000
9.05999977,-0.54367610,-5.69236000
9.07999977,-0.54367610,-5.69236000
9.09999977,-0.54367610,-5.69236000
9.11999977,-0.54367610,-5.69236000
9.13999977,-0.54367610,-5.69236000
9.15999977,-0.54367610,-5.61331200
9.17999977,-0.53580220,-5.69236000
9.19999977,-0.54367610,-5.61331200
9.21999977,-0.53580220,-5.61331200
9.23999977,-0.54367610,-5.61331200
9.25999977,-0.54367610,-5.61331200
9.27999977,-0.53580220,-5.61331200
9.29999977,-0.53580220,-5.61331200
9.31999976,-0.54367610,-5.61331200
9.33999976,-0.53580220,-5.61331200
9.35999976,-0.54367610,-5.53426500
9.37999976,-0.53580220,-5.61331200
9.39999976,-0.53580220,-5.61331200
9.41999976,-0.53580220,-5.53426500
9.43999976,-0.53580220,-5.53426500
9.45999976,-0.53580220,-5.53426500
9.47999976,-0.53580220,-5.53426500
9.49999976,-0.52792810,-5.53426500
9.51999976,-0.53580220,-5.45521700
9.53999976,-0.52792810,-5.45521700
9.55999976,-0.53580220,-5.45521700
9.57999976,-0.53580220,-5.45521700
9.59999976,-0.53580220,-5.45521700
9.61999976,-0.53580220,-5.45521700
9.63999976,-0.52792810,-5.45521700
9.65999976,-0.53580220,-5.37616800
9.67999976,-0.53580220,-5.37616800
