Frequency,Channel A,Channel B
(ms),(mV),(V)

9.31999976,245.20180000,4.28857000
9.33999976,244.84800000,4.27134600
9.35999976,244.47890000,4.25412100
9.37999976,244.10980000,4.23628200
9.39999976,243.77150000,4.21875000
9.41999976,243.41780000,4.20121800
9.43999976,243.04870000,4.18337900
9.45999976,242.69500000,4.16461600
9.47999976,242.32590000,4.14616200
9.49999976,241.95680000,4.12801400
9.51999976,241.55700000,4.10925200
9.53999976,241.17250000,4.09018200
9.55999976,240.78800000,4.07111200
9.57999976,240.38810000,4.05204200
9.59999976,239.98830000,4.03266500
9.61999976,239.58840000,4.01298000
9.63999976,239.18860000,3.99329500
9.65999976,238.78870000,3.97391700
9.67999976,238.38890000,3.95392500
9.69999975,237.97360000,3.93331700
9.71999975,237.57380000,3.91301700
9.73999975,237.15860000,3.89271600
9.75999975,236.72800000,3.87210900
9.77999975,236.31270000,3.85119300
9.79999975,235.89750000,3.83027800
9.81999975,235.46690000,3.80936300
9.83999975,235.03630000,3.78783200
9.85999975,234.60570000,3.76660900
9.87999975,234.15970000,3.74507900
9.89999975,233.71370000,3.72354800
9.91999975,233.28310000,3.70140300
9.93999975,232.82170000,3.67956400
9.95999975,232.34500000,3.65711100
9.97999975,231.88360000,3.63465800
9.99999975,231.42220000,3.61220500
10.01999975,230.94550000,3.58975100
10.03999975,230.46870000,3.56729800
10.05999975,230.00740000,3.54423000
10.07999975,229.54600000,3.52116100
10.09999974,229.06930000,3.49809300
10.11999974,228.59250000,3.47441000
10.13999974,228.10040000,3.45103400
10.15999974,227.63900000,3.42765800
10.17999974,227.14690000,3.40366600
10.19999974,226.62400000,3.37998300
10.21999974,226.13190000,3.35629900
10.23999974,225.63980000,3.33200000
10.25999974,225.13220000,3.30770200
10.27999974,224.60940000,3.28309500
10.29999974,224.11720000,3.25818200
10.31999974,223.62510000,3.23357500
10.33999974,223.11760000,3.20866100
10.35999974,222.59470000,3.18313200
10.37999974,222.07180000,3.15821900
10.39999974,221.54900000,3.13330500
10.41999974,221.01070000,3.10777500
10.43999974,220.47240000,3.08163100
10.45999974,219.91880000,3.05579500
10.47999974,219.39590000,3.02965000
10.49999973,218.88840000,3.00381400
10.51999973,218.35010000,2.97736200
10.53999973,217.81190000,2.95060300
10.55999973,217.27360000,2.92415100
10.57999973,216.73540000,2.89769900
10.59999973,216.16630000,2.87094000
10.61999973,215.62810000,2.84418100
10.63999973,215.07440000,2.81742100
10.65999973,214.49000000,2.79004700
10.67999973,213.95180000,2.76298000
10.69999973,213.41350000,2.73560500
10.71999973,212.85990000,2.70792300
10.73999973,212.29080000,2.68054900
10.75999973,211.70640000,2.65286700
10.77999973,211.15280000,2.62487700
10.79999973,210.56840000,2.59719500
10.81999973,209.98400000,2.56889800
10.83999973,209.38420000,2.54090800
10.85999973,208.81520000,2.51291800
10.87999973,208.23080000,2.48462100
10.89999972,207.64640000,2.45663100
10.91999972,207.07740000,2.42833400
10.93999972,206.49300000,2.39972900
10.95999972,205.89320000,2.37112500
10.97999972,205.27800000,2.34221200
10.99999972,204.66290000,2.31330000
11.01999972,204.06310000,2.28438700
11.03999972,203.44790000,2.25486000
11.05999972,202.86350000,2.22564000
11.07999972,202.27920000,2.19672700
11.09999972,201.66400000,2.16720000
11.11999972,201.06420000,2.13798000
11.13999972,200.44910000,2.10845200
11.15999972,199.83390000,2.07923200
11.17999972,199.21870000,2.05001200
11.19999972,198.60360000,2.02017700
11.21999972,197.98840000,1.99065000
11.23999972,197.37330000,1.96081400
11.25999972,196.77350000,1.93128700
11.27999972,196.14290000,1.90145200
11.29999971,195.51240000,1.87130900
11.31999971,194.88190000,1.84147400
11.33999971,194.25130000,1.81102400
11.35999971,193.62080000,1.78088100
11.37999971,192.97490000,1.75073800
11.39999971,192.34430000,1.72028800
11.41999971,191.69840000,1.69014500
11.43999971,191.06790000,1.65938700
11.45999971,190.45270000,1.62893700
11.47999971,189.83760000,1.59848700
11.49999971,189.19170000,1.56742100
11.51999971,188.54570000,1.53697100
11.53999971,187.94600000,1.50621300
11.55999971,187.31550000,1.47545500
11.57999971,186.63880000,1.44439000
11.59999971,185.99290000,1.41301700
11.61999971,185.34700000,1.38164400
11.63999971,184.68570000,1.35027100
11.65999971,184.03970000,1.31920500
11.67999970,183.39380000,1.28814000
11.69999970,182.74790000,1.25645900
11.71999970,182.08660000,1.22539400
11.73999970,181.45610000,1.19402100
11.75999970,180.81020000,1.16326300
11.77999970,180.19500000,1.13189000
11.79999970,179.53370000,1.10082400
11.81999970,178.90320000,1.06945100
11.83999970,178.27260000,1.03777100
11.85999970,177.62670000,1.00639800
11.87999970,176.96540000,0.97471700
